rank,status,prefix,markets,sides,qualified,live_skipped,n,median_ypd,median_spd,median_share_pct,median_touch,median_est_day,best,last_ts
21,ranked,atc-cfb,40,80,19,0,19,0.0393,0.012,0.498,150.0,0.0138,"[{'market': 'atc-cfb-smu-flst-2026-09-07-winner-3q-flst', 'side': 'SELL', 'ypd': 0.7824, 'share_pct': 14.943, 'touch': 4.0, 'px': 0.5, 'est_day': 0.3912, 'ts': 1788755236.9}, {'market': 'atc-cfb-col-gtech-2026-09-03-winner-2q-draw', 'side': 'SELL', 'ypd': 0.1798, 'share_pct': 0.99, 'touch': 100.0, 'px': 0.51, 'est_day': 0.0917, 'ts': 1788269467.8}, {'market': 'atc-cfb-col-gtech-2026-09-03-winner-3q-col', 'side': 'SELL', 'ypd': 0.1095, 'share_pct': 0.662, 'touch': 150.0, 'px': 0.56, 'est_day': 0.0613, 'ts': 1788274508.3}, {'market': 'atc-cfb-col-gtech-2026-09-03-winner-1h-col', 'side': 'SELL', 'ypd': 0.1072, 'share_pct': 0.394, 'touch': 5.0, 'px': 0.34, 'est_day': 0.0365, 'ts': 1788278231.0}, {'market': 'atc-cfb-south-hou-2026-09-12-winner-4q-hou', 'side': 'SELL', 'ypd': 0.0393, 'share_pct': 0.99, 'touch': 100.0, 'px': 0.7, 'est_day': 0.0275, 'ts': 1788901501.5}]",1788974331.2
22,ranked,aec-cfb,30,60,17,0,17,0.0387,0.007,0.037,2688.0,0.0011,"[{'market': 'aec-cfb-nmx-okl-2026-09-19', 'side': 'BUY', 'ypd': 17.2202, 'share_pct': 20.32, 'touch': 3.9, 'px': 0.075, 'est_day': 1.2915, 'ts': 1788924393.4}, {'market': 'aec-cfb-ncar-clmsn-2026-09-19', 'side': 'BUY', 'ypd': 7.6311, 'share_pct': 16.666, 'touch': 5.0, 'px': 0.13, 'est_day': 0.992, 'ts': 1788718804.0}, {'market': 'aec-cfb-utsa-tx-2026-09-19', 'side': 'BUY', 'ypd': 1.0348, 'share_pct': 0.662, 'touch': 150.0, 'px': 0.04, 'est_day': 0.0414, 'ts': 1788798499.2}, {'market': 'aec-cfb-mia-wake-2026-09-18', 'side': 'SELL', 'ypd': 0.1175, 'share_pct': 1.786, 'touch': 55.0, 'px': 0.95, 'est_day': 0.1116, 'ts': 1788663449.4}, {'market': 'aec-cfb-troy-missr-2026-09-19', 'side': 'SELL', 'ypd': 0.0459, 'share_pct': 0.112, 'touch': 893.0, 'px': 0.155, 'est_day': 0.0071, 'ts': 1788900822.4}]",1788993581.9
23,ranked,astatc-lg1,135,270,169,0,80,0.0355,0.344,13.383,7.0,0.0137,"[{'market': 'astatc-lg1-lil-tro-2026-09-13-ftts-none', 'side': 'SELL', 'ypd': 5.2176, 'share_pct': 99.009, 'touch': 0.0, 'px': 0.02, 'est_day': 0.1044, 'ts': 1788837906.5}, {'market': 'astatc-lg1-lor-tou-2026-09-12-sh-ftts-none', 'side': 'SELL', 'ypd': 5.1354, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.1027, 'ts': 1788784805.6}, {'market': 'astatc-lg1-aja-ogc-2026-09-12-sh-ftts-none', 'side': 'SELL', 'ypd': 5.0847, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.1017, 'ts': 1788804384.0}, {'market': 'astatc-lg1-sbr-psg-2026-09-13-ftts-none', 'side': 'SELL', 'ypd': 0.4884, 'share_pct': 14.265, 'touch': 6.0, 'px': 0.03, 'est_day': 0.0147, 'ts': 1788770687.0}, {'market': 'astatc-lg1-hac-ang-2026-09-12-sh-ftts-ang', 'side': 'SELL', 'ypd': 0.2804, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.36, 'est_day': 0.1009, 'ts': 1788901381.5}]",1789000550.8
24,ranked,cul/music/ccpc,349,698,667,96,80,0.0303,0.427,5.505,10.0,0.0042,"[{'market': 'ccpc-bilbrd-1album-any2026-coldpl', 'side': 'SELL', 'ypd': 7.012, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.01, 'est_day': 0.0701, 'ts': 1788698731.5}, {'market': 'ccpc-bilbrd-1album-any2026-rauale', 'side': 'SELL', 'ypd': 3.447, 'share_pct': 97.344, 'touch': 0.0, 'px': 0.02, 'est_day': 0.0689, 'ts': 1788829742.3}, {'market': 'ccpc-bilbrd-1album-any2026-lilway', 'side': 'SELL', 'ypd': 1.8267, 'share_pct': 99.009, 'touch': 0.0, 'px': 0.05, 'est_day': 0.0913, 'ts': 1788923297.3}, {'market': 'ccpc-bilbrd-1song-any2026-kanwes', 'side': 'SELL', 'ypd': 1.3194, 'share_pct': 38.314, 'touch': 1.6, 'px': 0.02, 'est_day': 0.0264, 'ts': 1788393364.8}, {'market': 'ccpc-bilbrd-1album-any2026-thewee', 'side': 'SELL', 'ypd': 0.0247, 'share_pct': 4.348, 'touch': 22.0, 'px': 0.16, 'est_day': 0.004, 'ts': 1788974563.9}]",1788974563.9
25,ranked,tech/ai/aimc,388,776,689,0,80,0.0298,0.025,0.313,271.0,0.0038,"[{'market': 'aimc-openai-gpt-6-2026-08-31', 'side': 'SELL', 'ypd': 0.4223, 'share_pct': 0.642, 'touch': 154.7, 'px': 0.01, 'est_day': 0.0042, 'ts': 1788303930.2}, {'market': 'aimc-gemini-3pt5pro-2026-08-31', 'side': 'SELL', 'ypd': 0.1841, 'share_pct': 0.471, 'touch': 211.0, 'px': 0.03, 'est_day': 0.0055, 'ts': 1788305790.4}, {'market': 'aimc-xai-grok-5-2026-09-30', 'side': 'SELL', 'ypd': 0.118, 'share_pct': 0.293, 'touch': 340.5, 'px': 0.03, 'est_day': 0.0035, 'ts': 1788975269.3}, {'market': 'aimc-gemini-3pt5pro-2026-09-30', 'side': 'SELL', 'ypd': 0.0446, 'share_pct': 0.258, 'touch': 386.1, 'px': 0.07, 'est_day': 0.0031, 'ts': 1788998404.2}, {'market': 'aimc-xai-grok-5-2026-12-31', 'side': 'SELL', 'ypd': 0.0002, 'share_pct': 0.01, 'touch': 9809.2, 'px': 0.75, 'est_day': 0.0001, 'ts': 1789002698.5}]",1789002698.5
26,ranked,arankc-lg1,123,246,230,0,80,0.0284,0.982,28.145,2.0,0.0081,"[{'market': 'arankc-lg1-2027-05-29-top4-lmf', 'side': 'SELL', 'ypd': 1.3152, 'share_pct': 90.909, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0263, 'ts': 1788866157.5}, {'market': 'arankc-lg1-2027-05-29-top4-hac', 'side': 'SELL', 'ypd': 0.9978, 'share_pct': 68.965, 'touch': 0.1, 'px': 0.02, 'est_day': 0.02, 'ts': 1788784565.6}, {'market': 'arankc-lg1-2027-05-29-top4-tro', 'side': 'SELL', 'ypd': 0.6345, 'share_pct': 43.86, 'touch': 1.3, 'px': 0.02, 'est_day': 0.0127, 'ts': 1788850143.6}, {'market': 'arankc-lg1-2027-05-29-top4-ang', 'side': 'SELL', 'ypd': 0.6183, 'share_pct': 42.735, 'touch': 1.3, 'px': 0.02, 'est_day': 0.0124, 'ts': 1788839974.3}, {'market': 'arankc-lg1-2027-05-29-top4-tou', 'side': 'SELL', 'ypd': 0.1355, 'share_pct': 9.363, 'touch': 9.7, 'px': 0.02, 'est_day': 0.0027, 'ts': 1788972054.2}]",1789004152.4
27,ranked,arankc-lal,123,246,232,0,80,0.0283,0.977,16.144,4.0,0.0047,"[{'market': 'arankc-lal-2027-05-30-top2-rso', 'side': 'SELL', 'ypd': 1.3148, 'share_pct': 90.876, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0263, 'ts': 1788973971.2}, {'market': 'arankc-lal-2027-05-30-top4-cel', 'side': 'SELL', 'ypd': 1.3122, 'share_pct': 90.909, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0262, 'ts': 1788735361.6}, {'market': 'arankc-lal-2027-05-30-top2-lev', 'side': 'SELL', 'ypd': 1.2028, 'share_pct': 83.333, 'touch': 0.2, 'px': 0.02, 'est_day': 0.0241, 'ts': 1788707017.5}, {'market': 'arankc-lal-2027-05-30-top4-get', 'side': 'SELL', 'ypd': 0.6889, 'share_pct': 47.618, 'touch': 1.1, 'px': 0.02, 'est_day': 0.0138, 'ts': 1788827481.0}, {'market': 'arankc-lal-2027-05-30-top2-cel', 'side': 'SELL', 'ypd': 0.6889, 'share_pct': 47.618, 'touch': 1.1, 'px': 0.02, 'est_day': 0.0138, 'ts': 1788850143.6}]",1789004152.4
28,ranked,fin/ipo/ipcc,449,898,862,0,80,0.0231,0.033,0.427,154.0,0.003,"[{'market': 'ipcc-2026ipos-ledger', 'side': 'SELL', 'ypd': 8.4088, 'share_pct': 23.208, 'touch': 3.0, 'px': 0.02, 'est_day': 0.1682, 'ts': 1788903664.6}, {'market': 'ipcc-2026ipos-mistral-ai', 'side': 'SELL', 'ypd': 5.6753, 'share_pct': 24.177, 'touch': 3.0, 'px': 0.03, 'est_day': 0.1703, 'ts': 1788824588.4}, {'market': 'ipcc-2026ipos-celonis', 'side': 'SELL', 'ypd': 3.1457, 'share_pct': 13.401, 'touch': 6.0, 'px': 0.03, 'est_day': 0.0944, 'ts': 1788817219.8}, {'market': 'ipcc-2026ipos-remote', 'side': 'SELL', 'ypd': 2.89, 'share_pct': 24.97, 'touch': 3.0, 'px': 0.06, 'est_day': 0.1734, 'ts': 1788751795.4}, {'market': 'ipcc-2026ipos-openai', 'side': 'SELL', 'ypd': 0.7729, 'share_pct': 10.666, 'touch': 5.0, 'px': 0.1, 'est_day': 0.0773, 'ts': 1788974689.7}]",1789001394.6
29,ranked,spr/baseball/aec,318,636,608,25,80,0.0215,0.005,0.214,378.0,0.0094,"[{'market': 'aec-mlb-min-det-2026-09-07', 'side': 'SELL', 'ypd': 8.3832, 'share_pct': 82.624, 'touch': 0.1, 'px': 0.44, 'est_day': 3.6886, 'ts': 1788629020.5}, {'market': 'aec-mlb-az-kc-2026-09-08', 'side': 'SELL', 'ypd': 3.644, 'share_pct': 71.422, 'touch': 0.4, 'px': 0.875, 'est_day': 3.1885, 'ts': 1788586462.3}, {'market': 'aec-mlb-hou-phi-2026-09-08', 'side': 'SELL', 'ypd': 2.1584, 'share_pct': 20.79, 'touch': 3.8, 'px': 0.43, 'est_day': 0.9281, 'ts': 1788620037.8}, {'market': 'aec-mlb-wsh-sd-2026-09-07', 'side': 'SELL', 'ypd': 1.0512, 'share_pct': 9.065, 'touch': 10.0, 'px': 0.385, 'est_day': 0.4047, 'ts': 1788570550.3}, {'market': 'aec-mlb-tor-kc-2026-09-06', 'side': 'SELL', 'ypd': 0.8435, 'share_pct': 9.069, 'touch': 10.0, 'px': 0.48, 'est_day': 0.4049, 'ts': 1788611544.0}]",1788629020.5
30,ranked,astatc-ucl,96,192,112,0,80,0.0213,0.221,14.265,6.0,0.0137,"[{'market': 'astatc-ucl-liv-atm-2026-09-09-cor-all-gt9pt5', 'side': 'SELL', 'ypd': 2.0474, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.05, 'est_day': 0.1024, 'ts': 1788816834.3}, {'market': 'astatc-ucl-fcb-fey-2026-09-09-ftts-none', 'side': 'SELL', 'ypd': 1.6969, 'share_pct': 49.562, 'touch': 1.0, 'px': 0.03, 'est_day': 0.0509, 'ts': 1788774989.8}, {'market': 'astatc-ucl-psg-sba-2026-09-09-cor-all-gt12pt5', 'side': 'SELL', 'ypd': 0.5982, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.17, 'est_day': 0.1017, 'ts': 1788758979.7}, {'market': 'astatc-ucl-fcb-fey-2026-09-09-ftts-fey', 'side': 'SELL', 'ypd': 0.516, 'share_pct': 98.673, 'touch': 0.0, 'px': 0.19, 'est_day': 0.098, 'ts': 1788741152.0}, {'market': 'astatc-ucl-mnu-sab1-2026-09-10-cor-all-gt11pt5', 'side': 'BUY', 'ypd': 0.4349, 'share_pct': 46.275, 'touch': 0.0, 'px': 0.11, 'est_day': 0.0478, 'ts': 1788818730.8}]",1789000665.0
31,ranked,astatc-bun,117,234,145,0,80,0.0185,0.179,12.162,7.0,0.0123,"[{'market': 'astatc-bun-koe-bre-2026-09-12-cor-all-gt9pt5', 'side': 'SELL', 'ypd': 5.1184, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.1024, 'ts': 1788824108.3}, {'market': 'astatc-bun-koe-bre-2026-09-12-cor-all-gt11pt5', 'side': 'SELL', 'ypd': 5.0349, 'share_pct': 98.039, 'touch': 0.0, 'px': 0.02, 'est_day': 0.1007, 'ts': 1788764552.1}, {'market': 'astatc-bun-koe-bre-2026-09-12-cor-all-gt12pt5', 'side': 'SELL', 'ypd': 4.986, 'share_pct': 97.087, 'touch': 0.0, 'px': 0.02, 'est_day': 0.0997, 'ts': 1788766422.3}, {'market': 'astatc-bun-hof-stu-2026-09-12-fh-btts', 'side': 'SELL', 'ypd': 4.9034, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.0981, 'ts': 1788733712.5}, {'market': 'astatc-bun-koe-bre-2026-09-12-ftts-none', 'side': 'SELL', 'ypd': 4.4647, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.0893, 'ts': 1788922937.3}]",1789000414.0
32,ranked,aachc-bun,132,264,253,0,80,0.0181,0.624,6.148,11.0,0.0018,"[{'market': 'aachc-bun-2027-05-22-relegation-bvb', 'side': 'SELL', 'ypd': 1.3113, 'share_pct': 90.634, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0262, 'ts': 1788867031.8}, {'market': 'aachc-bun-2027-05-22-relegation-lev', 'side': 'SELL', 'ypd': 1.2747, 'share_pct': 88.106, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0255, 'ts': 1788844243.7}, {'market': 'aachc-bun-2027-05-22-topscorer-bunmaxibei', 'side': 'SELL', 'ypd': 1.1831, 'share_pct': 81.967, 'touch': 0.2, 'px': 0.02, 'est_day': 0.0237, 'ts': 1788758277.2}, {'market': 'aachc-bun-2027-05-22-relegation-rbl', 'side': 'SELL', 'ypd': 1.0934, 'share_pct': 75.753, 'touch': 0.3, 'px': 0.02, 'est_day': 0.0219, 'ts': 1788779868.3}, {'market': 'aachc-bun-2027-05-22-topscorer-bunemmlat', 'side': 'SELL', 'ypd': 0.9548, 'share_pct': 98.995, 'touch': 0.0, 'px': 0.03, 'est_day': 0.0286, 'ts': 1788832354.7}]",1789003288.0
33,ranked,fin/executive/apdc,300,600,593,166,80,0.0174,0.025,0.167,599.0,0.0012,"[{'market': 'apdc-elonmusk-tsla-ceo-2026-12-31', 'side': 'SELL', 'ypd': 0.1897, 'share_pct': 1.832, 'touch': 31.7, 'px': 0.07, 'est_day': 0.0133, 'ts': 1788974689.7}, {'market': 'apdc-altman-openai-ceo-2026-12-31', 'side': 'SELL', 'ypd': 0.0082, 'share_pct': 0.091, 'touch': 1103.0, 'px': 0.08, 'est_day': 0.0007, 'ts': 1789001394.6}]",1789001394.6
34,ranked,enwc-ushrp,104,208,146,0,80,0.0173,0.009,0.154,606.0,0.0047,"[{'market': 'enwc-ushrp-ma-08-2026-09-01-dem-patroa', 'side': 'BUY', 'ypd': 1.8498, 'share_pct': 1.572, 'touch': 25.0, 'px': 0.25, 'est_day': 0.4624, 'ts': 1788264607.8}, {'market': 'enwc-ushrp-nh-01-2026-09-08-rep-holnov', 'side': 'SELL', 'ypd': 0.7555, 'share_pct': 0.982, 'touch': 4.4, 'px': 0.13, 'est_day': 0.0982, 'ts': 1788828021.0}, {'market': 'enwc-ushrp-nh-01-2026-09-08-dem-mausul', 'side': 'BUY', 'ypd': 0.5798, 'share_pct': 4.755, 'touch': 1.1, 'px': 0.82, 'est_day': 0.4755, 'ts': 1788903604.6}, {'market': 'enwc-ushrp-nh-01-2026-09-08-dem-stesha', 'side': 'SELL', 'ypd': 0.0842, 'share_pct': 0.135, 'touch': 599.3, 'px': 0.16, 'est_day': 0.0135, 'ts': 1788826278.8}, {'market': 'enwc-ushrp-ri-02-2026-09-09-rep-stesko', 'side': 'SELL', 'ypd': 0.0833, 'share_pct': 0.633, 'touch': 157.0, 'px': 0.76, 'est_day': 0.0633, 'ts': 1788923385.9}]",1789001301.6
35,ranked,mac/monetary/rdc,136,272,170,274,80,0.0147,0.02,0.112,853.0,0.0008,"[{'market': 'rdc-banxico-2026-09-24-cut25', 'side': 'SELL', 'ypd': 4.344, 'share_pct': 11.584, 'touch': 7.1, 'px': 0.02, 'est_day': 0.0869, 'ts': 1788541087.2}, {'market': 'rdc-bcb-2026-09-16-cut50', 'side': 'SELL', 'ypd': 2.0529, 'share_pct': 5.474, 'touch': 2.5, 'px': 0.02, 'est_day': 0.0411, 'ts': 1788613928.2}, {'market': 'rdc-banxico-2026-09-24-hike25', 'side': 'SELL', 'ypd': 1.1186, 'share_pct': 2.983, 'touch': 32.4, 'px': 0.02, 'est_day': 0.0224, 'ts': 1788583816.5}, {'market': 'rdc-banxico-2026-09-24-cut50', 'side': 'SELL', 'ypd': 0.1979, 'share_pct': 0.528, 'touch': 49.0, 'px': 0.02, 'est_day': 0.004, 'ts': 1788592739.2}, {'market': 'rdc-bcb-2026-09-16-nochng', 'side': 'SELL', 'ypd': 0.0305, 'share_pct': 0.732, 'touch': 135.6, 'px': 0.18, 'est_day': 0.0055, 'ts': 1788953159.8}]",1788953159.8
36,ranked,arankc-bun,124,248,229,0,80,0.0128,0.441,9.965,9.0,0.0029,"[{'market': 'arankc-bun-2027-05-22-top4-koe', 'side': 'SELL', 'ypd': 1.3152, 'share_pct': 90.909, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0263, 'ts': 1788866097.5}, {'market': 'arankc-bun-2027-05-22-top4-bmg', 'side': 'SELL', 'ypd': 0.2159, 'share_pct': 14.925, 'touch': 5.7, 'px': 0.02, 'est_day': 0.0043, 'ts': 1788999956.8}, {'market': 'arankc-bun-2027-05-22-top4-hsv', 'side': 'SELL', 'ypd': 0.1875, 'share_pct': 90.715, 'touch': 0.1, 'px': 0.14, 'est_day': 0.0262, 'ts': 1788843363.3}, {'market': 'arankc-bun-2027-05-22-top4-scf', 'side': 'SELL', 'ypd': 0.1669, 'share_pct': 11.534, 'touch': 7.3, 'px': 0.02, 'est_day': 0.0033, 'ts': 1788972054.2}, {'market': 'arankc-bun-2027-05-22-top4-mai', 'side': 'SELL', 'ypd': 0.1355, 'share_pct': 9.363, 'touch': 9.7, 'px': 0.02, 'est_day': 0.0027, 'ts': 1788973971.2}]",1789004152.4
37,ranked,arankc-sea,123,246,225,0,80,0.0121,0.42,13.523,3.0,0.0039,"[{'market': 'arankc-sea-2027-05-30-top4-sas', 'side': 'SELL', 'ypd': 1.3122, 'share_pct': 90.697, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0262, 'ts': 1788793967.4}, {'market': 'arankc-sea-2027-05-30-top4-mon', 'side': 'SELL', 'ypd': 0.5339, 'share_pct': 36.9, 'touch': 1.7, 'px': 0.02, 'est_day': 0.0107, 'ts': 1788994559.2}, {'market': 'arankc-sea-2027-05-30-top4-udi', 'side': 'SELL', 'ypd': 0.4019, 'share_pct': 27.778, 'touch': 2.6, 'px': 0.02, 'est_day': 0.008, 'ts': 1788926578.7}, {'market': 'arankc-sea-2027-05-30-top4-laz', 'side': 'SELL', 'ypd': 0.3529, 'share_pct': 24.39, 'touch': 3.1, 'px': 0.02, 'est_day': 0.0071, 'ts': 1789000097.2}, {'market': 'arankc-sea-2027-05-30-top4-gen', 'side': 'SELL', 'ypd': 0.1561, 'share_pct': 64.755, 'touch': 0.1, 'px': 0.12, 'est_day': 0.0187, 'ts': 1789004152.4}]",1789004152.4
38,ranked,spr/football/fptc,398,796,734,2,80,0.0112,0.171,7.405,12.0,0.0049,"[{'market': 'fptc-nfl-wrfpou-2027-01-10-trahun', 'side': 'SELL', 'ypd': 1.6323, 'share_pct': 49.751, 'touch': 1.0, 'px': 0.02, 'est_day': 0.0326, 'ts': 1788485510.7}, {'market': 'fptc-nfl-wrfpou-2027-01-10-ricpea', 'side': 'SELL', 'ypd': 1.616, 'share_pct': 49.256, 'touch': 1.0, 'px': 0.02, 'est_day': 0.0323, 'ts': 1788554310.7}, {'market': 'fptc-nfl-rbfpou-2027-01-10-josjac', 'side': 'SELL', 'ypd': 0.7389, 'share_pct': 90.09, 'touch': 0.1, 'px': 0.08, 'est_day': 0.0591, 'ts': 1788773874.1}, {'market': 'fptc-nfl-qbfpou-2027-01-10-samdar', 'side': 'SELL', 'ypd': 0.209, 'share_pct': 98.746, 'touch': 0.0, 'px': 0.31, 'est_day': 0.0648, 'ts': 1788805134.7}, {'market': 'fptc-nfl-qbfpou-2027-01-10-jusher', 'side': 'SELL', 'ypd': 0.0725, 'share_pct': 49.751, 'touch': 1.0, 'px': 0.45, 'est_day': 0.0326, 'ts': 1788849386.2}]",1788975049.7
39,ranked,pol/usstate/enwc,88,176,143,275,80,0.0108,0.0,0.002,53249.0,0.0018,"[{'market': 'enwc-ussep-nh-2026-09-08-dem-karman', 'side': 'SELL', 'ypd': 0.149, 'share_pct': 0.002, 'touch': 41936.6, 'px': 0.04, 'est_day': 0.006, 'ts': 1788773617.4}, {'market': 'enwc-ussep-ma-2026-09-01-dem-setmou', 'side': 'SELL', 'ypd': 0.1471, 'share_pct': 0.005, 'touch': 20000.0, 'px': 0.01, 'est_day': 0.0015, 'ts': 1788264847.8}, {'market': 'enwc-ussep-nh-2026-09-01-rep-scobro', 'side': 'SELL', 'ypd': 0.0311, 'share_pct': 0.003, 'touch': 32154.3, 'px': 0.01, 'est_day': 0.0003, 'ts': 1788847335.1}, {'market': 'enwc-ussep-nh-2026-09-08-dem-chrpap', 'side': 'SELL', 'ypd': 0.0032, 'share_pct': 0.001, 'touch': 78265.3, 'px': 0.99, 'est_day': 0.0032, 'ts': 1788821089.5}, {'market': 'enwc-ussep-nh-2026-09-01-rep-johsun', 'side': 'BUY', 'ypd': 0.0002, 'share_pct': 0.002, 'touch': 40553.0, 'px': 0.99, 'est_day': 0.0002, 'ts': 1788822924.3}]",1788847335.1
40,ranked,pol/uscongress/pic,35,70,66,0,64,0.0099,0.187,0.882,71.0,0.0005,"[{'market': 'pic-congress-trump-2026-12-31', 'side': 'SELL', 'ypd': 0.0932, 'share_pct': 15.385, 'touch': 5.5, 'px': 0.08, 'est_day': 0.0075, 'ts': 1788997271.6}]",1788997271.6
41,ranked,spr/basketball/tec,408,816,760,15,80,0.0099,0.003,0.01,1152.0,0.0005,"[{'market': 'tec-cbb-champ-2027-04-05-w-aubrn', 'side': 'SELL', 'ypd': 15.375, 'share_pct': 31.426, 'touch': 0.1, 'px': 0.07, 'est_day': 1.0762, 'ts': 1788902122.0}, {'market': 'tec-cbb-champ-2027-04-05-w-vir', 'side': 'SELL', 'ypd': 3.5924, 'share_pct': 3.147, 'touch': 22.2, 'px': 0.03, 'est_day': 0.1078, 'ts': 1788593148.3}, {'market': 'tec-cbb-champ-2027-04-05-w-miss', 'side': 'SELL', 'ypd': 2.5494, 'share_pct': 3.722, 'touch': 2.5, 'px': 0.05, 'est_day': 0.1275, 'ts': 1788771609.8}, {'market': 'tec-cbb-champ-2027-04-05-w-usc', 'side': 'SELL', 'ypd': 2.5203, 'share_pct': 1.472, 'touch': 22.7, 'px': 0.02, 'est_day': 0.0504, 'ts': 1788460311.8}, {'market': 'tec-cbb-champ-2027-04-05-w-gnzg', 'side': 'SELL', 'ypd': 2.357, 'share_pct': 5.506, 'touch': 1.1, 'px': 0.08, 'est_day': 0.1886, 'ts': 1788557911.2}]",1789002212.0
42,ranked,spr/mma/astatc,330,660,635,0,80,0.0097,0.019,0.593,150.0,0.0031,"[{'market': 'astatc-ufc-kurcam-trepee-2026-09-05-mov-draw', 'side': 'SELL', 'ypd': 3.1498, 'share_pct': 42.509, 'touch': 1.0, 'px': 0.07, 'est_day': 0.2205, 'ts': 1788499872.8}, {'market': 'astatc-ufc-micpag-nurruz-2026-09-05-rof-before-r3', 'side': 'SELL', 'ypd': 0.3983, 'share_pct': 29.95, 'touch': 2.0, 'px': 0.39, 'est_day': 0.1553, 'ts': 1788494805.6}, {'market': 'astatc-ufc-dandon-punsor-2026-09-05-rof-before-r3', 'side': 'SELL', 'ypd': 0.3142, 'share_pct': 33.316, 'touch': 2.0, 'px': 0.55, 'est_day': 0.1728, 'ts': 1788487799.6}, {'market': 'astatc-ufc-kurcam-trepee-2026-09-05-rov-f1-r2', 'side': 'SELL', 'ypd': 0.3083, 'share_pct': 8.322, 'touch': 9.0, 'px': 0.14, 'est_day': 0.0432, 'ts': 1788586702.3}, {'market': 'astatc-ufc-farzia-axesol-2026-09-05-mov-draw', 'side': 'SELL', 'ypd': 0.2316, 'share_pct': 6.697, 'touch': 2.0, 'px': 0.15, 'est_day': 0.0347, 'ts': 1788391199.1}]",1788629269.5
43,ranked,pol/uscongress/paccc,224,448,441,178,80,0.0096,0.001,0.041,2016.0,0.0032,"[{'market': 'paccc-usse-midterms-2026-11-03-rep', 'side': 'SELL', 'ypd': 0.0422, 'share_pct': 0.285, 'touch': 343.0, 'px': 0.534, 'est_day': 0.0225, 'ts': 1788929322.3}, {'market': 'paccc-usho-midterms-2026-11-03-rep', 'side': 'SELL', 'ypd': 0.0154, 'share_pct': 0.035, 'touch': 2872.0, 'px': 0.17, 'est_day': 0.0026, 'ts': 1789001734.8}, {'market': 'paccc-usse-midterms-2026-11-03-dem', 'side': 'SELL', 'ypd': 0.0115, 'share_pct': 0.068, 'touch': 1417.0, 'px': 0.468, 'est_day': 0.0054, 'ts': 1788923685.9}, {'market': 'paccc-usho-midterms-2026-11-03-dem', 'side': 'SELL', 'ypd': 0.0102, 'share_pct': 0.108, 'touch': 61.0, 'px': 0.838, 'est_day': 0.0085, 'ts': 1788953440.0}]",1789001734.8
44,ranked,aachc-epl,132,264,246,0,80,0.0096,0.332,9.634,8.0,0.0028,"[{'market': 'aachc-epl-pts-2027-05-30-eve-55pts', 'side': 'SELL', 'ypd': 1.4116, 'share_pct': 90.909, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0282, 'ts': 1788695044.4}, {'market': 'aachc-epl-2027-05-30-mostast-eplbrungui', 'side': 'SELL', 'ypd': 1.3152, 'share_pct': 90.909, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0263, 'ts': 1788838627.2}, {'market': 'aachc-epl-2027-05-30-mostast-eplpedrnet', 'side': 'SELL', 'ypd': 1.3122, 'share_pct': 90.907, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0262, 'ts': 1788716961.4}, {'market': 'aachc-epl-2027-05-30-gglove-epldeahen', 'side': 'SELL', 'ypd': 1.1041, 'share_pct': 76.491, 'touch': 0.3, 'px': 0.02, 'est_day': 0.0221, 'ts': 1788733167.6}, {'market': 'aachc-epl-2027-05-30-gglove-eplrobroe', 'side': 'SELL', 'ypd': 0.0754, 'share_pct': 13.021, 'touch': 6.7, 'px': 0.05, 'est_day': 0.0038, 'ts': 1788929960.6}]",1789003288.0
