rank,status,prefix,markets,sides,qualified,live_skipped,n,median_ypd,median_spd,median_share_pct,median_touch,median_est_day,best,last_ts
11,ranked,fin/executive/pnwpc,169,338,331,292,80,0.0565,0.081,2.475,34.0,0.0172,"[{'market': 'pnwpc-elonmusk-by-2026-12-31-hit-1pt2t', 'side': 'SELL', 'ypd': 0.3228, 'share_pct': 8.251, 'touch': 11.1, 'px': 0.18, 'est_day': 0.0581, 'ts': 1788831574.2}, {'market': 'pnwpc-elonmusk-by-2026-12-31-hit-1pt3t', 'side': 'SELL', 'ypd': 0.1903, 'share_pct': 2.626, 'touch': 22.7, 'px': 0.1, 'est_day': 0.019, 'ts': 1788901801.7}, {'market': 'pnwpc-elonmusk-by-2026-12-31-hit-1pt5t', 'side': 'SELL', 'ypd': 0.1479, 'share_pct': 1.837, 'touch': 52.8, 'px': 0.09, 'est_day': 0.0133, 'ts': 1788903664.6}, {'market': 'pnwpc-elonmusk-by-2026-12-31-hit-1pt1t', 'side': 'SELL', 'ypd': 0.0302, 'share_pct': 1.96, 'touch': 50.0, 'px': 0.47, 'est_day': 0.0142, 'ts': 1789001394.6}, {'market': 'pnwpc-elonmusk-by-2026-12-31-hit-1pt05t', 'side': 'SELL', 'ypd': 0.0282, 'share_pct': 1.79, 'touch': 54.9, 'px': 0.46, 'est_day': 0.013, 'ts': 1788972737.2}]",1789001394.6
12,ranked,astatc-lal,130,260,180,0,80,0.0541,0.517,16.667,5.0,0.0176,"[{'market': 'astatc-lal-val-fcb-2026-09-06-g-lallamyam-gte1', 'side': 'SELL', 'ypd': 6.0431, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.32, 'est_day': 1.9338, 'ts': 1788694088.2}, {'market': 'astatc-lal-rrc-ala-2026-09-12-sh-ftts-none', 'side': 'SELL', 'ypd': 5.2176, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.1044, 'ts': 1788846783.1}, {'market': 'astatc-lal-get-dep-2026-09-13-ftts-none', 'side': 'SELL', 'ypd': 5.0847, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.1017, 'ts': 1788768380.4}, {'market': 'astatc-lal-rrc-ala-2026-09-12-ftts-none', 'side': 'SELL', 'ypd': 3.1705, 'share_pct': 98.919, 'touch': 0.0, 'px': 0.03, 'est_day': 0.0951, 'ts': 1788725031.9}, {'market': 'astatc-lal-ray-esp-2026-09-15-fh-btts', 'side': 'SELL', 'ypd': 1.3142, 'share_pct': 24.938, 'touch': 3.0, 'px': 0.02, 'est_day': 0.0263, 'ts': 1788868889.9}]",1789000550.8
13,ranked,mac/labor/nfpc,281,562,407,42,80,0.0512,0.023,0.56,146.0,0.0127,"[{'market': 'nfpc-usnfp-sa-august-2026-09-04-gtneg50k', 'side': 'SELL', 'ypd': 0.75, 'share_pct': 28.711, 'touch': 0.0, 'px': 0.87, 'est_day': 0.6525, 'ts': 1788515473.1}, {'market': 'nfpc-usnfp-sa-august-2026-09-04-gt50k', 'side': 'SELL', 'ypd': 0.228, 'share_pct': 4.716, 'touch': 18.0, 'px': 0.47, 'est_day': 0.1072, 'ts': 1788517453.2}, {'market': 'nfpc-usnfp-sa-august-2026-09-04-gt150k', 'side': 'SELL', 'ypd': 0.0518, 'share_pct': 0.16, 'touch': 537.0, 'px': 0.07, 'est_day': 0.0036, 'ts': 1788519418.0}, {'market': 'nfpc-usnfp-sa-august-2026-09-04-gtneg100k', 'side': 'BUY', 'ypd': 0.0437, 'share_pct': 1.79, 'touch': 51.0, 'px': 0.93, 'est_day': 0.0407, 'ts': 1788507732.9}, {'market': 'nfpc-usnfp-sa-august-2026-09-04-gt0', 'side': 'SELL', 'ypd': 0.0029, 'share_pct': 0.095, 'touch': 1051.0, 'px': 0.74, 'est_day': 0.0022, 'ts': 1788521338.1}]",1788521338.1
14,ranked,tech/ai/aimrc,274,548,515,120,80,0.0493,0.041,0.192,462.0,0.0023,"[{'market': 'aimrc-company1-dur2026-baidu', 'side': 'SELL', 'ypd': 1.2601, 'share_pct': 6.25, 'touch': 15.0, 'px': 0.06, 'est_day': 0.0756, 'ts': 1788775904.0}, {'market': 'aimrc-code1-2026-12-31-amazon', 'side': 'SELL', 'ypd': 0.6712, 'share_pct': 2.219, 'touch': 5.8, 'px': 0.04, 'est_day': 0.0268, 'ts': 1788925956.5}, {'market': 'aimrc-company1-dur2026-moonsh', 'side': 'SELL', 'ypd': 0.2209, 'share_pct': 1.096, 'touch': 90.3, 'px': 0.06, 'est_day': 0.0133, 'ts': 1788849566.2}, {'market': 'aimrc-company1-2026-12-31-zai', 'side': 'SELL', 'ypd': 0.1487, 'share_pct': 0.123, 'touch': 812.4, 'px': 0.01, 'est_day': 0.0015, 'ts': 1788828717.9}, {'market': 'aimrc-company1-2026-12-31-amazon', 'side': 'SELL', 'ypd': 0.0331, 'share_pct': 0.055, 'touch': 1825.6, 'px': 0.02, 'est_day': 0.0007, 'ts': 1789002698.5}]",1789002698.5
15,ranked,spr/football/asc,337,674,413,3,80,0.0491,0.03,1.188,37.0,0.0236,"[{'market': 'asc-cfb-loutch-lsu-2026-09-12-pos-0pt5', 'side': 'SELL', 'ypd': 26.662, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.04, 'est_day': 1.0665, 'ts': 1788507312.9}, {'market': 'asc-cfb-utahst-wash-2026-09-12-pos-4pt5', 'side': 'SELL', 'ypd': 15.9625, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.04, 'est_day': 0.6385, 'ts': 1788568930.3}, {'market': 'asc-cfb-utahst-wash-2026-09-12-neg-21pt5', 'side': 'SELL', 'ypd': 14.073, 'share_pct': 49.751, 'touch': 1.0, 'px': 0.04, 'est_day': 0.5629, 'ts': 1788533091.7}, {'market': 'asc-cfb-arzst-txam-2026-09-12-neg-3pt5', 'side': 'SELL', 'ypd': 12.8389, 'share_pct': 47.619, 'touch': 1.1, 'px': 0.04, 'est_day': 0.5136, 'ts': 1788415014.6}, {'market': 'asc-cfb-ballst-ohiost-2026-09-05-neg-20pt5', 'side': 'SELL', 'ypd': 11.6091, 'share_pct': 90.421, 'touch': 0.0, 'px': 0.02, 'est_day': 0.2322, 'ts': 1788310111.2}]",1788953956.2
16,ranked,enwc-usgubp,104,208,121,0,80,0.0443,0.004,0.013,4769.0,0.0013,"[{'market': 'enwc-usgubp-ri-2026-09-09-dem-danmck', 'side': 'SELL', 'ypd': 17.9239, 'share_pct': 2.868, 'touch': 2.1, 'px': 0.03, 'est_day': 0.5377, 'ts': 1788974629.7}, {'market': 'enwc-usgubp-ri-2026-09-09-rep-elapel', 'side': 'BUY', 'ypd': 0.7836, 'share_pct': 0.125, 'touch': 250.0, 'px': 0.03, 'est_day': 0.0235, 'ts': 1789001301.6}, {'market': 'enwc-usgubp-ri-2026-09-09-rep-robrai', 'side': 'SELL', 'ypd': 0.0774, 'share_pct': 0.004, 'touch': 24222.0, 'px': 0.01, 'est_day': 0.0008, 'ts': 1788972677.2}, {'market': 'enwc-usgubp-ri-2026-09-09-rep-aarguc', 'side': 'SELL', 'ypd': 0.0438, 'share_pct': 0.061, 'touch': 1621.0, 'px': 0.14, 'est_day': 0.0061, 'ts': 1788903544.6}, {'market': 'enwc-usgubp-ri-2026-09-09-dem-greste', 'side': 'SELL', 'ypd': 0.0094, 'share_pct': 0.001, 'touch': 106002.0, 'px': 0.01, 'est_day': 0.0001, 'ts': 1788927179.8}]",1789001301.6
17,ranked,aachc-sea,132,264,240,0,80,0.0441,1.525,18.244,4.0,0.0053,"[{'market': 'aachc-sea-2027-05-30-topscorer-scomct', 'side': 'SELL', 'ypd': 1.1762, 'share_pct': 81.301, 'touch': 0.2, 'px': 0.02, 'est_day': 0.0235, 'ts': 1788793618.9}, {'market': 'aachc-sea-2027-05-30-relegation-sas', 'side': 'SELL', 'ypd': 1.0334, 'share_pct': 71.429, 'touch': 0.4, 'px': 0.02, 'est_day': 0.0207, 'ts': 1788955300.5}, {'market': 'aachc-sea-2027-05-30-relegation-rom', 'side': 'SELL', 'ypd': 1.0302, 'share_pct': 71.371, 'touch': 0.4, 'px': 0.02, 'est_day': 0.0206, 'ts': 1788737312.8}, {'market': 'aachc-sea-2027-05-30-topscorer-kenz', 'side': 'SELL', 'ypd': 0.9998, 'share_pct': 69.109, 'touch': 0.3, 'px': 0.02, 'est_day': 0.02, 'ts': 1788844381.0}, {'market': 'aachc-sea-2027-05-30-topscorer-jondav', 'side': 'SELL', 'ypd': 0.4919, 'share_pct': 34.0, 'touch': 1.9, 'px': 0.02, 'est_day': 0.0098, 'ts': 1788993581.9}]",1789003403.9
18,ranked,aachc-lg1,132,264,246,0,80,0.0424,1.465,14.038,6.0,0.0041,"[{'market': 'aachc-lg1-2027-05-29-topscorer-lg1matpar', 'side': 'SELL', 'ypd': 1.4324, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.0286, 'ts': 1788823617.0}, {'market': 'aachc-lg1-2027-05-29-topscorer-lg1lassin', 'side': 'SELL', 'ypd': 1.4111, 'share_pct': 90.874, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0282, 'ts': 1788667463.5}, {'market': 'aachc-lg1-2027-05-29-relegation-sbr', 'side': 'SELL', 'ypd': 1.0334, 'share_pct': 71.426, 'touch': 0.4, 'px': 0.02, 'est_day': 0.0207, 'ts': 1788950093.9}, {'market': 'aachc-lg1-2027-05-29-relegation-lil', 'side': 'SELL', 'ypd': 0.9909, 'share_pct': 68.491, 'touch': 0.5, 'px': 0.02, 'est_day': 0.0198, 'ts': 1788846182.2}, {'market': 'aachc-lg1-2027-05-29-relegation-aja', 'side': 'SELL', 'ypd': 0.8768, 'share_pct': 90.909, 'touch': 0.1, 'px': 0.03, 'est_day': 0.0263, 'ts': 1788955300.5}]",1789003403.9
19,ranked,astatc-epl,115,230,158,0,80,0.0423,0.738,39.171,1.0,0.0138,"[{'market': 'astatc-epl-sun-ars-2026-09-12-cor-all-gt12pt5', 'side': 'SELL', 'ypd': 5.2176, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.1044, 'ts': 1788832901.4}, {'market': 'astatc-epl-tot-eve-2026-09-12-sh-btts', 'side': 'SELL', 'ypd': 4.4647, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 0.0893, 'ts': 1788928649.9}, {'market': 'astatc-epl-tot-eve-2026-09-12-fh-btts', 'side': 'SELL', 'ypd': 4.4646, 'share_pct': 99.007, 'touch': 0.0, 'px': 0.02, 'est_day': 0.0893, 'ts': 1788926758.7}, {'market': 'astatc-epl-goals-ou-2027-05-30-ollwat', 'side': 'SELL', 'ypd': 1.2158, 'share_pct': 78.299, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0243, 'ts': 1788676023.9}, {'market': 'astatc-epl-cov-bha-2026-09-13-sh-btts', 'side': 'SELL', 'ypd': 0.7592, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.11, 'est_day': 0.0835, 'ts': 1788995000.3}]",1789000550.8
20,ranked,spr/motorsport/tec,210,420,335,186,80,0.0418,0.045,0.057,1021.0,0.0006,"[{'market': 'tec-f1-pigp-2026-09-06-w-feralo', 'side': 'SELL', 'ypd': 65.9196, 'share_pct': 11.602, 'touch': 7.0, 'px': 0.002, 'est_day': 0.1318, 'ts': 1788593378.8}, {'market': 'tec-indy-monterey-2026-09-06-w-rinvee', 'side': 'SELL', 'ypd': 47.1609, 'share_pct': 47.161, 'touch': 1.1, 'px': 0.02, 'est_day': 0.9432, 'ts': 1788558091.2}, {'market': 'tec-f1-pigp-2026-09-06-w-alealb', 'side': 'SELL', 'ypd': 40.4144, 'share_pct': 7.113, 'touch': 5.0, 'px': 0.002, 'est_day': 0.0808, 'ts': 1788491383.8}, {'market': 'tec-f1-thsgp-2026-09-13-w-lannor', 'side': 'SELL', 'ypd': 3.3088, 'share_pct': 98.999, 'touch': 0.0, 'px': 0.34, 'est_day': 1.125, 'ts': 1788623259.8}, {'market': 'tec-indy-monterey-2026-09-06-w-davmal', 'side': 'SELL', 'ypd': 2.8848, 'share_pct': 5.77, 'touch': 1.1, 'px': 0.04, 'est_day': 0.1154, 'ts': 1788629269.5}]",1788629269.5
